Id,,Name,,Date,,Time
2,,"BLACKPINK, Jennie",,06-07-2022,,14:51:57
3,,"BLACKPINK, Lisa",,06-07-2022,,14:52:18
4,,"BLACKPINK, Rose",,06-07-2022,,14:52:38
5,,"BLACKPINK, Jisoo",,06-07-2022,,14:52:53
6,,"SONG, Yunhyeong",,06-07-2022,,14:53:24
7,,"KOO, Junhoe",,06-07-2022,,14:54:26
8,,"SWIFT, Taylor",,06-07-2022,,14:54:43
9,,"GRANDE, Ariana",,06-07-2022,,14:54:57
10,,"MINAJ, Nicki",,06-07-2022,,14:55:14
1,,"ESTEBAN, Kier A.",,06-07-2022,,15:15:47
1,,"ESTEBAN, Kier A.",,06-07-2022,,15:16:32
